"V4","V5","V6","V7","V8","V9","V10","V11"
6.1513333333,6.1513333333,6.1513333333,6.1513333333,6.1513333333,6.1513333333,6.1513333333,6.1513333333
6.3013333333,6.3013333333,6.3013333333,6.3013333333,6.3013333333,6.3013333333,6.3013333333,6.3013333333
6.4513333333,6.4513333333,6.4513333333,6.4513333333,6.4513333333,6.4513333333,6.4513333333,6.4513333333
6.6013333333,6.6013333333,6.6013333333,6.6013333333,6.6013333333,6.6013333333,6.6013333333,6.6013333333
6.7513333333,6.7513333333,6.7513333333,6.7513333333,6.7513333333,6.7513333333,6.7513333333,6.7513333333
6.9013333333,6.9013333333,6.9013333333,6.9013333333,6.9013333333,6.9013333333,6.9013333333,6.9013333333
7.0513333333,7.0513333333,7.0513333333,7.0513333333,7.0513333333,7.0513333333,7.0513333333,7.0513333333
7.1286666667,7.1286666667,7.1286666667,7.1286666667,7.1286666667,7.1286666667,7.1286666667,7.1286666667
7.206,7.206,7.206,7.206,7.206,7.206,7.206,7.206
7.4306666667,7.4306666667,7.4306666667,7.4306666667,7.4306666667,7.4306666667,7.4306666667,7.4306666667
7.6553333333,7.6553333333,7.6553333333,7.6553333333,7.6553333333,7.6553333333,7.6553333333,7.6553333333
7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
8.0826666667,8.0826666667,8.0826666667,8.0826666667,8.0826666667,8.0826666667,8.0826666667,8.0826666667
8.2853333333,8.2853333333,8.2853333333,8.2853333333,8.2853333333,8.2853333333,8.2853333333,8.2853333333
8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488
8.7793333333,8.7793333333,8.7793333333,8.7793333333,8.7793333333,8.7793333333,8.7793333333,8.7793333333
8.7313333333,8.7313333333,8.7313333333,8.7313333333,8.7313333333,8.7313333333,8.7313333333,8.7313333333
8.6833333333,8.6833333333,8.6833333333,8.6833333333,8.6833333333,8.6833333333,8.6833333333,8.6833333333
8.6353333333,8.6353333333,8.6353333333,8.6353333333,8.6353333333,8.6353333333,8.6353333333,8.6353333333
8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333
8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333,8.5873333333
8.4913333333,8.4913333333,8.4913333333,8.4913333333,8.4913333333,8.4913333333,8.4913333333,8.4913333333
8.4433333333,8.4433333333,8.4433333333,8.4433333333,8.4433333333,8.4433333333,8.4433333333,8.4433333333
8.3953333333,8.3953333333,8.3953333333,8.3953333333,8.3953333333,8.3953333333,8.3953333333,8.3953333333
8.2286666667,8.2286666667,8.2286666667,8.2286666667,8.2286666667,8.2286666667,8.2286666667,8.2286666667
8.0786666667,8.0786666667,8.0786666667,8.0786666667,8.0786666667,8.0786666667,8.0786666667,8.0786666667
7.824,7.824,7.824,7.824,7.824,7.824,7.824,7.824
7.5693333333,7.5693333333,7.5693333333,7.5693333333,7.5693333333,7.5693333333,7.5693333333,7.5693333333
7.3253333333,7.3253333333,7.3253333333,7.3253333333,7.3253333333,7.3253333333,7.3253333333,7.3253333333
7.0813333333,7.0813333333,7.0813333333,7.0813333333,7.0813333333,7.0813333333,7.0813333333,7.0813333333
6.7486666667,6.7486666667,6.7486666667,6.7486666667,6.7486666667,6.7486666667,6.7486666667,6.7486666667
6.6713333333,6.6713333333,6.6713333333,6.6713333333,6.6713333333,6.6713333333,6.6713333333,6.6713333333
6.592,6.592,6.592,6.592,6.592,6.592,6.592,6.592
6.5126666667,6.5126666667,6.5126666667,6.5126666667,6.5126666667,6.5126666667,6.5126666667,6.5126666667
6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333
6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333,6.4333333333
6.2746666667,6.2746666667,6.2746666667,6.2746666667,6.2746666667,6.2746666667,6.2746666667,6.2746666667
