"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44
-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43
-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32
-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31,-0.31
-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38,-0.38
-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39
-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36
-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19
-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27
-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47,-0.47
-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64
-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88
-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44
