"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03
3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31
4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46
4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68
4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76
4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74
4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36
4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36
4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01
5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14
5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28
5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46
5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56
5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61
5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71
5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74
5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66
5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61
5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52
5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43
5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36
5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28
5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01
5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01
4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79
4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32
4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69
4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81
4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.16
5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28
5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32
5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95
4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88
4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81
4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49
4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
4,4,4,4,4,4,4,4
3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87
3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03
4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03
3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98
3.98,3.98,3.98,3.98,3.98,3.98,3.98,3.98
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27
4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52
4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46
4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32
4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23
4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12
4,4,4,4,4,4,4,4
3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76
3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57
3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61
3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31
4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44
4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54
4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87
4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68
4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69
4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87
3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63
3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38
3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19
3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78
2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61
2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57
2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13
3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31
3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79
3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22
4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63
3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55
3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54
3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49
3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31
3.21,3.21,3.21,3.21,3.21,3.21,3.21,Inf
3.14,3.14,3.14,3.14,3.14,3.14,3.14,Inf
3.1,3.1,3.1,3.1,3.1,3.1,3.1,Inf
3.07,3.07,3.07,3.07,3.07,3.07,3.07,Inf
3.14,3.14,3.14,3.14,3.14,3.14,3.14,Inf
3.17,3.17,3.17,3.17,3.17,3.17,3.17,Inf
3.23,3.23,3.23,3.23,3.23,3.23,3.23,Inf
3.23,3.23,3.23,3.23,3.23,3.23,3.23,Inf
3.2,3.2,3.2,3.2,3.2,3.2,3.2,Inf
3.15,3.15,3.15,3.15,3.15,3.15,3.15,Inf
3.15,3.15,3.15,3.15,3.15,3.15,3.15,Inf
2.96,2.96,2.96,2.96,2.96,2.96,2.96,Inf
2.82,2.82,2.82,2.82,2.82,2.82,2.82,Inf
2.73,2.73,2.73,2.73,2.73,2.73,2.73,Inf
2.68,2.68,2.68,2.68,2.68,2.68,2.68,Inf
2.64,2.64,2.64,2.64,2.64,2.64,Inf,2.64
2.66,2.66,2.66,2.66,2.66,2.66,Inf,2.66
2.66,2.66,2.66,2.66,2.66,2.66,Inf,2.66
2.64,2.64,2.64,2.64,2.64,2.64,Inf,2.64
2.62,2.62,2.62,2.62,2.62,2.62,Inf,2.62
2.52,2.52,2.52,2.52,2.52,2.52,Inf,2.52
2.4,2.4,2.4,2.4,2.4,2.4,Inf,2.4
2.4,2.4,2.4,2.4,2.4,2.4,Inf,2.4
2.2,2.2,2.2,2.2,2.2,2.2,Inf,2.2
2.08,2.08,2.08,2.08,2.08,2.08,Inf,2.08
2,2,2,2,2,2,Inf,2
1.99,1.99,1.99,1.99,1.99,1.99,Inf,1.99
2.01,2.01,2.01,2.01,2.01,2.01,Inf,2.01
2.01,2.01,2.01,2.01,2.01,2.01,Inf,2.01
1.99,1.99,1.99,1.99,1.99,1.99,Inf,1.99
1.97,1.97,1.97,1.97,1.97,Inf,1.97,1.97
1.95,1.95,1.95,1.95,1.95,Inf,1.95,1.95
1.95,1.95,1.95,1.95,1.95,Inf,1.95,1.95
1.9,1.9,1.9,1.9,1.9,Inf,1.9,1.9
1.87,1.87,1.87,1.87,1.87,Inf,1.87,1.87
1.92,1.92,1.92,1.92,1.92,Inf,1.92,1.92
1.89,1.89,1.89,1.89,1.89,Inf,1.89,1.89
1.88,1.88,1.88,1.88,1.88,Inf,1.88,1.88
1.92,1.92,1.92,1.92,1.92,Inf,1.92,1.92
1.94,1.94,1.94,1.94,1.94,Inf,1.94,1.94
1.91,1.91,1.91,1.91,1.91,Inf,1.91,1.91
1.94,1.94,1.94,1.94,1.94,Inf,1.94,1.94
1.99,1.99,1.99,1.99,1.99,Inf,1.99,1.99
2.06,2.06,2.06,2.06,2.06,Inf,2.06,2.06
2.15,2.15,2.15,2.15,2.15,Inf,2.15,2.15
2.21,2.21,2.21,2.21,Inf,2.21,2.21,2.21
2.29,2.29,2.29,2.29,Inf,2.29,2.29,2.29
2.42,2.42,2.42,2.42,Inf,2.42,2.42,2.42
2.51,2.51,2.51,2.51,Inf,2.51,2.51,2.51
2.59,2.59,2.59,2.59,Inf,2.59,2.59,2.59
2.64,2.64,2.64,2.64,Inf,2.64,2.64,2.64
2.71,2.71,2.71,2.71,Inf,2.71,2.71,2.71
2.79,2.79,2.79,2.79,Inf,2.79,2.79,2.79
2.78,2.78,2.78,2.78,Inf,2.78,2.78,2.78
2.78,2.78,2.78,2.78,Inf,2.78,2.78,2.78
2.81,2.81,2.81,2.81,Inf,2.81,2.81,2.81
2.79,2.79,2.79,2.79,Inf,2.79,2.79,2.79
2.73,2.73,2.73,2.73,Inf,2.73,2.73,2.73
2.68,2.68,2.68,2.68,Inf,2.68,2.68,2.68
2.6,2.6,2.6,2.6,Inf,2.6,2.6,2.6
2.57,2.57,2.57,Inf,2.57,2.57,2.57,2.57
2.57,2.57,2.57,Inf,2.57,2.57,2.57,2.57
2.32,2.32,2.32,Inf,2.32,2.32,2.32,2.32
2.14,2.14,2.14,Inf,2.14,2.14,2.14,2.14
1.97,1.97,1.97,Inf,1.97,1.97,1.97,1.97
1.73,1.73,1.73,Inf,1.73,1.73,1.73,1.73
1.51,1.51,1.51,Inf,1.51,1.51,1.51,1.51
1.26,1.26,1.26,Inf,1.26,1.26,1.26,1.26
1.05,1.05,1.05,Inf,1.05,1.05,1.05,1.05
0.86,0.86,0.86,Inf,0.86,0.86,0.86,0.86
0.68,0.68,0.68,Inf,0.68,0.68,0.68,0.68
0.46,0.46,0.46,Inf,0.46,0.46,0.46,0.46
0.46,0.46,0.46,Inf,0.46,0.46,0.46,0.46
0.07,0.07,0.07,Inf,0.07,0.07,0.07,0.07
-0.11,-0.11,-0.11,Inf,-0.11,-0.11,-0.11,-0.11
-0.26,-0.26,Inf,-0.26,-0.26,-0.26,-0.26,-0.26
-0.41,-0.41,Inf,-0.41,-0.41,-0.41,-0.41,-0.41
-0.58,-0.58,Inf,-0.58,-0.58,-0.58,-0.58,-0.58
-0.65,-0.65,Inf,-0.65,-0.65,-0.65,-0.65,-0.65
-0.62,-0.62,Inf,-0.62,-0.62,-0.62,-0.62,-0.62
-0.49,-0.49,Inf,-0.49,-0.49,-0.49,-0.49,-0.49
-0.45,-0.45,Inf,-0.45,-0.45,-0.45,-0.45,-0.45
-0.41,-0.41,Inf,-0.41,-0.41,-0.41,-0.41,-0.41
-0.32,-0.32,Inf,-0.32,-0.32,-0.32,-0.32,-0.32
-0.21,-0.21,Inf,-0.21,-0.21,-0.21,-0.21,-0.21
-0.05,-0.05,Inf,-0.05,-0.05,-0.05,-0.05,-0.05
0.09,0.09,Inf,0.09,0.09,0.09,0.09,0.09
0.22,0.22,Inf,0.22,0.22,0.22,0.22,0.22
0.3,0.3,Inf,0.3,0.3,0.3,0.3,0.3
0.3,0.3,Inf,0.3,0.3,0.3,0.3,0.3
0.36,Inf,0.36,0.36,0.36,0.36,0.36,0.36
0.45,Inf,0.45,0.45,0.45,0.45,0.45,0.45
0.45,Inf,0.45,0.45,0.45,0.45,0.45,0.45
0.46,Inf,0.46,0.46,0.46,0.46,0.46,0.46
0.43,Inf,0.43,0.43,0.43,0.43,0.43,0.43
0.36,Inf,0.36,0.36,0.36,0.36,0.36,0.36
0.36,Inf,0.36,0.36,0.36,0.36,0.36,0.36
0.3,Inf,0.3,0.3,0.3,0.3,0.3,0.3
0.29,Inf,0.29,0.29,0.29,0.29,0.29,0.29
0.3,Inf,0.3,0.3,0.3,0.3,0.3,0.3
0.21,Inf,0.21,0.21,0.21,0.21,0.21,0.21
0.16,Inf,0.16,0.16,0.16,0.16,0.16,0.16
0.1,Inf,0.1,0.1,0.1,0.1,0.1,0.1
0.04,Inf,0.04,0.04,0.04,0.04,0.04,0.04
0,Inf,0,0,0,0,0,0
Inf,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Inf,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19
Inf,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
Inf,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
Inf,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18
Inf,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
Inf,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
Inf,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
Inf,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Inf,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
Inf,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
Inf,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
Inf,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
Inf,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
Inf,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13
1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
