"V4","V5","V6","V7","V8","V9","V10","V11"
-5.36933333330001,-5.36933333330001,-5.36933333330001,-5.36933333330001,-5.36933333330001,-5.36933333330001,-5.36933333330001,-5.36933333330001
-5.47199999999999,-5.47199999999999,-5.47199999999999,-5.47199999999999,-5.47199999999999,-5.47199999999999,-5.47199999999999,-5.47199999999999
-5.5006666667,-5.5006666667,-5.5006666667,-5.5006666667,-5.5006666667,-5.5006666667,-5.5006666667,-5.5006666667
-5.5073333333,-5.5073333333,-5.5073333333,-5.5073333333,-5.5073333333,-5.5073333333,-5.5073333333,-5.5073333333
-5.6713333333,-5.6713333333,-5.6713333333,-5.6713333333,-5.6713333333,-5.6713333333,-5.6713333333,-5.6713333333
-5.864,-5.864,-5.864,-5.864,-5.864,-5.864,-5.864,-5.864
-6.01600000000001,-6.01600000000001,-6.01600000000001,-6.01600000000001,-6.01600000000001,-6.01600000000001,-6.01600000000001,-6.01600000000001
-6.1346666667,-6.1346666667,-6.1346666667,-6.1346666667,-6.1346666667,-6.1346666667,-6.1346666667,-6.1346666667
-6.1786666667,-6.1786666667,-6.1786666667,-6.1786666667,-6.1786666667,-6.1786666667,-6.1786666667,-6.1786666667
-6.0953333333,-6.0953333333,-6.0953333333,-6.0953333333,-6.0953333333,-6.0953333333,-6.0953333333,-6.0953333333
-5.9633333333,-5.9633333333,-5.9633333333,-5.9633333333,-5.9633333333,-5.9633333333,-5.9633333333,-5.9633333333
-5.8306666667,-5.8306666667,-5.8306666667,-5.8306666667,-5.8306666667,-5.8306666667,-5.8306666667,-5.8306666667
-5.7173333333,-5.7173333333,-5.7173333333,-5.7173333333,-5.7173333333,-5.7173333333,-5.7173333333,-5.7173333333
-5.67,-5.67,-5.67,-5.67,-5.67,-5.67,-5.67,-5.67
-5.586,-5.586,-5.586,-5.586,-5.586,-5.586,-5.586,-5.586
-5.572,-5.572,-5.572,-5.572,-5.572,-5.572,-5.572,-5.572
-5.5366666667,-5.5366666667,-5.5366666667,-5.5366666667,-5.5366666667,-5.5366666667,-5.5366666667,-5.5366666667
-5.5193333333,-5.5193333333,-5.5193333333,-5.5193333333,-5.5193333333,-5.5193333333,-5.5193333333,-5.5193333333
-5.5806666667,-5.5806666667,-5.5806666667,-5.5806666667,-5.5806666667,-5.5806666667,-5.5806666667,-5.5806666667
-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667
-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667,-5.4566666667
-5.1953333333,-5.1953333333,-5.1953333333,-5.1953333333,-5.1953333333,-5.1953333333,-5.1953333333,-5.1953333333
-5.0486666667,-5.0486666667,-5.0486666667,-5.0486666667,-5.0486666667,-5.0486666667,-5.0486666667,-5.0486666667
-4.938,-4.938,-4.938,-4.938,-4.938,-4.938,-4.938,-4.938
-4.8826666667,-4.8826666667,-4.8826666667,-4.8826666667,-4.8826666667,-4.8826666667,-4.8826666667,-4.8826666667
-4.8553333333,-4.8553333333,-4.8553333333,-4.8553333333,-4.8553333333,-4.8553333333,-4.8553333333,-4.8553333333
-4.9433333333,-4.9433333333,-4.9433333333,-4.9433333333,-4.9433333333,-4.9433333333,-4.9433333333,-4.9433333333
-5.0106666667,-5.0106666667,-5.0106666667,-5.0106666667,-5.0106666667,-5.0106666667,-5.0106666667,-5.0106666667
-4.976,-4.976,-4.976,-4.976,-4.976,-4.976,-4.976,-4.976
-4.9066666667,-4.9066666667,-4.9066666667,-4.9066666667,-4.9066666667,-4.9066666667,-4.9066666667,-4.9066666667
-4.9373333333,-4.9373333333,-4.9373333333,-4.9373333333,-4.9373333333,-4.9373333333,-4.9373333333,-4.9373333333
-4.9553333333,-4.9553333333,-4.9553333333,-4.9553333333,-4.9553333333,-4.9553333333,-4.9553333333,-4.9553333333
-5.0233333333,-5.0233333333,-5.0233333333,-5.0233333333,-5.0233333333,-5.0233333333,-5.0233333333,-5.0233333333
-5.0413333333,-5.0413333333,-5.0413333333,-5.0413333333,-5.0413333333,-5.0413333333,-5.0413333333,-5.0413333333
-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667
-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667,-5.0806666667
-5.2213333333,-5.2213333333,-5.2213333333,-5.2213333333,-5.2213333333,-5.2213333333,-5.2213333333,-5.2213333333
-5.35666666669999,-5.35666666669999,-5.35666666669999,-5.35666666669999,-5.35666666669999,-5.35666666669999,-5.35666666669999,-5.35666666669999
-5.46666666669999,-5.46666666669999,-5.46666666669999,-5.46666666669999,-5.46666666669999,-5.46666666669999,-5.46666666669999,-5.46666666669999
-5.57599999999999,-5.57599999999999,-5.57599999999999,-5.57599999999999,-5.57599999999999,-5.57599999999999,-5.57599999999999,-5.57599999999999
-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
-5.6206666667,-5.6206666667,-5.6206666667,-5.6206666667,-5.6206666667,-5.6206666667,-5.6206666667,-5.6206666667
-5.5053333333,-5.5053333333,-5.5053333333,-5.5053333333,-5.5053333333,-5.5053333333,-5.5053333333,-5.5053333333
-5.4673333333,-5.4673333333,-5.4673333333,-5.4673333333,-5.4673333333,-5.4673333333,-5.4673333333,-5.4673333333
-5.446,-5.446,-5.446,-5.446,-5.446,-5.446,-5.446,-5.446
-5.294,-5.294,-5.294,-5.294,-5.294,-5.294,-5.294,-5.294
-5.146,-5.146,-5.146,-5.146,-5.146,-5.146,-5.146,-5.146
-4.98533333330001,-4.98533333330001,-4.98533333330001,-4.98533333330001,-4.98533333330001,-4.98533333330001,-4.98533333330001,-4.98533333330001
-4.7873333333,-4.7873333333,-4.7873333333,-4.7873333333,-4.7873333333,-4.7873333333,-4.7873333333,-4.7873333333
-4.6406666667,-4.6406666667,-4.6406666667,-4.6406666667,-4.6406666667,-4.6406666667,-4.6406666667,-4.6406666667
-4.4226666667,-4.4226666667,-4.4226666667,-4.4226666667,-4.4226666667,-4.4226666667,-4.4226666667,-4.4226666667
-4.25333333330001,-4.25333333330001,-4.25333333330001,-4.25333333330001,-4.25333333330001,-4.25333333330001,-4.25333333330001,-4.25333333330001
-4.116,-4.116,-4.116,-4.116,-4.116,-4.116,-4.116,-4.116
-4.04533333329999,-4.04533333329999,-4.04533333329999,-4.04533333329999,-4.04533333329999,-4.04533333329999,-4.04533333329999,-4.04533333329999
-3.938,-3.938,-3.938,-3.938,-3.938,-3.938,-3.938,-3.938
-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667
-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667,-3.7446666667
-3.702,-3.702,-3.702,-3.702,-3.702,-3.702,-3.702,-3.702
-3.702,-3.702,-3.702,-3.702,-3.702,-3.702,-3.702,-3.702
-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7
-3.7713333333,-3.7713333333,-3.7713333333,-3.7713333333,-3.7713333333,-3.7713333333,-3.7713333333,-3.7713333333
-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95
