"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51,-2.51
-2.37,-2.37,-2.37,-2.37,-2.37,-2.37,-2.37,-2.37
-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25
-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15
-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96,-1.96
-1.93,-1.93,-1.93,-1.93,-1.93,-1.93,-1.93,-1.93
-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85
-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81
-1.78,-1.78,-1.78,-1.78,-1.78,-1.78,-1.78,-1.78
-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76
-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76,-1.76
-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87
-2.01,-2.01,-2.01,-2.01,-2.01,-2.01,-2.01,-2.01
-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17,-2.17
-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,-2.32
-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45
-2.52,-2.52,-2.52,-2.52,-2.52,-2.52,-2.52,-2.52
-2.57,-2.57,-2.57,-2.57,-2.57,-2.57,-2.57,-2.57
-2.61,-2.61,-2.61,-2.61,-2.61,-2.61,-2.61,-2.61
-2.61,-2.61,-2.61,-2.61,-2.61,-2.61,-2.61,-2.61
-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65
-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72
-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76,-2.76
-2.77,-2.77,-2.77,-2.77,-2.77,-2.77,-2.77,-2.77
-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78
-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8
-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72
-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62,-2.62
-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53
-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41,-2.41
-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,-2.32,-2.32
-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19,-2.19
-2.07,-2.07,-2.07,-2.07,-2.07,-2.07,-2.07,-2.07
-2,-2,-2,-2,-2,-2,-2,-2
-2,-2,-2,-2,-2,-2,-2,-2
-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94
-1.92,-1.92,-1.92,-1.92,-1.92,-1.92,-1.92,-1.92
-1.86,-1.86,-1.86,-1.86,-1.86,-1.86,-1.86,-1.86
-1.77,-1.77,-1.77,-1.77,-1.77,-1.77,-1.77,-1.77
-1.66,-1.66,-1.66,-1.66,-1.66,-1.66,-1.66,-1.66
-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55,-1.55
-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56,-1.56
-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6
-1.73,-1.73,-1.73,-1.73,-1.73,-1.73,-1.73,-1.73
-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87
-2,-2,-2,-2,-2,-2,-2,-2
-2.07,-2.07,-2.07,-2.07,-2.07,-2.07,-2.07,-2.07
-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12
-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13,-2.13
-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15
-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14
-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16
-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16
-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18
-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18
-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04
-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04,-2.04
-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
-1.63,-1.63,-1.63,-1.63,-1.63,-1.63,-1.63,-1.63
-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
-1.23,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23,-1.23
-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99
-0.87,-0.87,-0.87,-0.87,-0.87,-0.87,-0.87,-0.87
-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72
