"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92,-2.92
-2.94,-2.94,-2.94,-2.94,-2.94,-2.94,-2.94,-2.94
-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97,-2.97
-3.04,-3.04,-3.04,-3.04,-3.04,-3.04,-3.04,-3.04
-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03
-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99,-2.99
-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83
-2.66,-2.66,-2.66,-2.66,-2.66,-2.66,-2.66,-2.66
-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55
-2.52,-2.52,-2.52,-2.52,-2.52,-2.52,-2.52,-2.52
-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49
-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54,-2.54
-2.63,-2.63,-2.63,-2.63,-2.63,-2.63,-2.63,-2.63
-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74
-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89
-2.98,-2.98,-2.98,-2.98,-2.98,-2.98,-2.98,-2.98
-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02,-3.02
-3,-3,-3,-3,-3,-3,-3,-3
-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03,-3.03
-3.07,-3.07,-3.07,-3.07,-3.07,-3.07,-3.07,-3.07
-3.07,-3.07,-3.07,-3.07,-3.07,-3.07,-3.07,-3.07
-3.28,-3.28,-3.28,-3.28,-3.28,-3.28,-3.28,-3.28
-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45
-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56,-3.56
-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58
-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58
-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51
-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43,-3.43
-3.32,-3.32,-3.32,-3.32,-3.32,-3.32,-3.32,-3.32
-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13
-3.11,-3.11,-3.11,-3.11,-3.11,-3.11,-3.11,-3.11
-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12
-3.11,-3.11,-3.11,-3.11,-3.11,-3.11,-3.11,-3.11
-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15
-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15
-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12,-3.12
-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1
-3.09,-3.09,-3.09,-3.09,-3.09,-3.09,-3.09,-3.09
-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13
-3.23,-3.23,-3.23,-3.23,-3.23,-3.23,-3.23,-3.23
-3.33,-3.33,-3.33,-3.33,-3.33,-3.33,-3.33,-3.33
-3.44,-3.44,-3.44,-3.44,-3.44,-3.44,-3.44,-3.44
-3.59,-3.59,-3.59,-3.59,-3.59,-3.59,-3.59,-3.59
-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69,-3.69
-3.83,-3.83,-3.83,-3.83,-3.83,-3.83,-3.83,-3.83
-3.94,-3.94,-3.94,-3.94,-3.94,-3.94,-3.94,-3.94
-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07,-4.07
-4.14,-4.14,-4.14,-4.14,-4.14,-4.14,-4.14,-4.14
-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22,-4.22
-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3
-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38,-4.38
-4.43,-4.43,-4.43,-4.43,-4.43,-4.43,-4.43,-4.43
-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46
-4.51,-4.51,-4.51,-4.51,-4.51,-4.51,-4.51,-4.51
-4.49,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49
-4.49,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49,-4.49
-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46
-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46,-4.46
-4.26,-4.26,-4.26,-4.26,-4.26,-4.26,-4.26,-4.26
-4.12,-4.12,-4.12,-4.12,-4.12,-4.12,-4.12,-4.12
-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95
-3.82,-3.82,-3.82,-3.82,-3.82,-3.82,-3.82,-3.82
-3.71,-3.71,-3.71,-3.71,-3.71,-3.71,-3.71,-3.71
-3.61,-3.61,-3.61,-3.61,-3.61,-3.61,-3.61,-3.61
-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58,-3.58
-3.54,-3.54,-3.54,-3.54,-3.54,-3.54,-3.54,-3.54
-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51,-3.51
-3.4,-3.4,-3.4,-3.4,-3.4,-3.4,-3.4,-3.4
-3.28,-3.28,-3.28,-3.28,-3.28,-3.28,-3.28,-3.28
-3.19,-3.19,-3.19,-3.19,-3.19,-3.19,-3.19,-3.19
-3.06,-3.06,-3.06,-3.06,-3.06,-3.06,-3.06,-3.06
-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95
-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89,-2.89
-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83,-2.83
-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78,-2.78
-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74,-2.74
-2.67,-2.67,-2.67,-2.67,-2.67,-2.67,-2.67,-2.67
-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55,-2.55
