"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27
-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97
1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91
1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71
1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39
2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99
3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44
3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53
3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56
3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16
2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84
2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29
2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13
2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.18
2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31
2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36
2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34
2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27
2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04
1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54
1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19
1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
1.66,1.66,1.66,1.66,1.66,1.66,1.66,1.66
1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96
1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39
2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52
2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63
2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12
3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06
3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02
3,3,3,3,3,3,3,3
2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84
2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68
2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47
2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31
2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13
2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01
1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73
1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73
1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63
1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74
1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91
1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91
1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21
-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44
-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48
-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58
-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68
-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72,-0.72
-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68
-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59
