"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-6.7546666667,-6.7546666667,-6.7546666667,-6.7546666667,-6.7546666667,-6.7546666667,-6.7546666667,-6.7546666667,-9.41355730641937,-9.41355730641937,-9.41355730641937,-9.41355730641937,-9.41355730641937,-9.41355730641937,-9.41355730641937,-9.41355730641937
-6.7566666667,-6.7566666667,-6.7566666667,-6.7566666667,-6.7566666667,-6.7566666667,-6.7566666667,-6.7566666667,-9.41608212946095,-9.41608212946095,-9.41608212946095,-9.41608212946095,-9.41608212946095,-9.41608212946095,-9.41608212946095,-9.41608212946095
-6.73399999999999,-6.73399999999999,-6.73399999999999,-6.73399999999999,-6.73399999999999,-6.73399999999999,-6.73399999999999,-6.73399999999999,-9.38745922435664,-9.38745922435664,-9.38745922435664,-9.38745922435664,-9.38745922435664,-9.38745922435664,-9.38745922435664,-9.38745922435664
-6.6953333333,-6.6953333333,-6.6953333333,-6.6953333333,-6.6953333333,-6.6953333333,-6.6953333333,-6.6953333333,-9.33859014529506,-9.33859014529506,-9.33859014529506,-9.33859014529506,-9.33859014529506,-9.33859014529506,-9.33859014529506,-9.33859014529506
-6.7053333333,-6.7053333333,-6.7053333333,-6.7053333333,-6.7053333333,-6.7053333333,-6.7053333333,-6.7053333333,-9.35123375290976,-9.35123375290976,-9.35123375290976,-9.35123375290976,-9.35123375290976,-9.35123375290976,-9.35123375290976,-9.35123375290976
-6.6233333333,-6.6233333333,-6.6233333333,-6.6233333333,-6.6233333333,-6.6233333333,-6.6233333333,-6.6233333333,-9.24745194764706,-9.24745194764706,-9.24745194764706,-9.24745194764706,-9.24745194764706,-9.24745194764706,-9.24745194764706,-9.24745194764706
-6.5366666667,-6.5366666667,-6.5366666667,-6.5366666667,-6.5366666667,-6.5366666667,-6.5366666667,-6.5366666667,-9.13750524210934,-9.13750524210934,-9.13750524210934,-9.13750524210934,-9.13750524210934,-9.13750524210934,-9.13750524210934,-9.13750524210934
-6.38133333330001,-6.38133333330001,-6.38133333330001,-6.38133333330001,-6.38133333330001,-6.38133333330001,-6.38133333330001,-6.38133333330001,-8.93977884036394,-8.93977884036394,-8.93977884036394,-8.93977884036394,-8.93977884036394,-8.93977884036394,-8.93977884036394,-8.93977884036394
-6.2373333333,-6.2373333333,-6.2373333333,-6.2373333333,-6.2373333333,-6.2373333333,-6.2373333333,-6.2373333333,-8.75570861716177,-8.75570861716177,-8.75570861716177,-8.75570861716177,-8.75570861716177,-8.75570861716177,-8.75570861716177,-8.75570861716177
-6.1093333333,-6.1093333333,-6.1093333333,-6.1093333333,-6.1093333333,-6.1093333333,-6.1093333333,-6.1093333333,-8.59146478657682,-8.59146478657682,-8.59146478657682,-8.59146478657682,-8.59146478657682,-8.59146478657682,-8.59146478657682,-8.59146478657682
-6.0133333333,-6.0133333333,-6.0133333333,-6.0133333333,-6.0133333333,-6.0133333333,-6.0133333333,-6.0133333333,-8.4678933533179,-8.4678933533179,-8.4678933533179,-8.4678933533179,-8.4678933533179,-8.4678933533179,-8.4678933533179,-8.4678933533179
-5.8493333333,-5.8493333333,-5.8493333333,-5.8493333333,-5.8493333333,-5.8493333333,-5.8493333333,-5.8493333333,-8.25601746424725,-8.25601746424725,-8.25601746424725,-8.25601746424725,-8.25601746424725,-8.25601746424725,-8.25601746424725,-8.25601746424725
-5.7013333333,-5.7013333333,-5.7013333333,-5.7013333333,-5.7013333333,-5.7013333333,-5.7013333333,-5.7013333333,-8.06396861912461,-8.06396861912461,-8.06396861912461,-8.06396861912461,-8.06396861912461,-8.06396861912461,-8.06396861912461,-8.06396861912461
-5.562,-5.562,-5.562,-5.562,-5.562,-5.562,-5.562,-5.562,-7.88242963634817,-7.88242963634817,-7.88242963634817,-7.88242963634817,-7.88242963634817,-7.88242963634817,-7.88242963634817,-7.88242963634817
-5.3526666667,-5.3526666667,-5.3526666667,-5.3526666667,-5.3526666667,-5.3526666667,-5.3526666667,-5.3526666667,-7.60833514962352,-7.60833514962352,-7.60833514962352,-7.60833514962352,-7.60833514962352,-7.60833514962352,-7.60833514962352,-7.60833514962352
-5.1446666667,-5.1446666667,-5.1446666667,-5.1446666667,-5.1446666667,-5.1446666667,-5.1446666667,-5.1446666667,-7.33436611958746,-7.33436611958746,-7.33436611958746,-7.33436611958746,-7.33436611958746,-7.33436611958746,-7.33436611958746,-7.33436611958746
-4.9013333333,-4.9013333333,-4.9013333333,-4.9013333333,-4.9013333333,-4.9013333333,-4.9013333333,-4.9013333333,-7.01178804405592,-7.01178804405592,-7.01178804405592,-7.01178804405592,-7.01178804405592,-7.01178804405592,-7.01178804405592,-7.01178804405592
-4.6606666667,-4.6606666667,-4.6606666667,-4.6606666667,-4.6606666667,-4.6606666667,-4.6606666667,-4.6606666667,-6.69052837090912,-6.69052837090912,-6.69052837090912,-6.69052837090912,-6.69052837090912,-6.69052837090912,-6.69052837090912,-6.69052837090912
