"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min"
-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2
-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
-5.29,-5.29,-5.29,-5.29,-5.29,-5.29,-5.29,-5.29
-5.33,-5.33,-5.33,-5.33,-5.33,-5.33,-5.33,-5.33
-5.42,-5.42,-5.42,-5.42,-5.42,-5.42,-5.42,-5.42
-5.46,-5.46,-5.46,-5.46,-5.46,-5.46,-5.46,-5.46
-5.52,-5.52,-5.52,-5.52,-5.52,-5.52,-5.52,-5.52
-5.45,-5.45,-5.45,-5.45,-5.45,-5.45,-5.45,-5.45
-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4
-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26,-5.26
-5.22,-5.22,-5.22,-5.22,-5.22,-5.22,-5.22,-5.22
-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2
-5.08,-5.08,-5.08,-5.08,-5.08,-5.08,-5.08,-5.08
-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91,-4.91
-4.88,-4.88,-4.88,-4.88,-4.88,-4.88,-4.88,-4.88
-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8
-4.79,-4.79,-4.79,-4.79,-4.79,-4.79,-4.79,-4.79
-4.78,-4.78,-4.78,-4.78,-4.78,-4.78,-4.78,-4.78
-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81
-4.84,-4.84,-4.84,-4.84,-4.84,-4.84,-4.84,-4.84
-4.84,-4.84,-4.84,-4.84,-4.84,-4.84,-4.84,-4.84
-4.94,-4.94,-4.94,-4.94,-4.94,-4.94,-4.94,-4.94
-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01
-5.08,-5.08,-5.08,-5.08,-5.08,-5.08,-5.08,-5.08
-5.19,-5.19,-5.19,-5.19,-5.19,-5.19,-5.19,-5.19
-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3
-5.43,-5.43,-5.43,-5.43,-5.43,-5.43,-5.43,-5.43
-5.57,-5.57,-5.57,-5.57,-5.57,-5.57,-5.57,-5.57
-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
-5.72,-5.72,-5.72,-5.72,-5.72,-5.72,-5.72,-5.72
-5.89,-5.89,-5.89,-5.89,-5.89,-5.89,-5.89,-5.89
-6.12,-6.12,-6.12,-6.12,-6.12,-6.12,-6.12,-6.12
-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4
-6.66,-6.66,-6.66,-6.66,-6.66,-6.66,-6.66,-6.66
-6.85,-6.85,-6.85,-6.85,-6.85,-6.85,-6.85,-6.85
-6.85,-6.85,-6.85,-6.85,-6.85,-6.85,-6.85,-6.85
-7.03,-7.03,-7.03,-7.03,-7.03,-7.03,-7.03,-7.03
-7.14,-7.14,-7.14,-7.14,-7.14,-7.14,-7.14,-7.14
-7.22,-7.22,-7.22,-7.22,-7.22,-7.22,-7.22,-7.22
-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3
-7.32,-7.32,-7.32,-7.32,-7.32,-7.32,-7.32,-7.32
-7.31,-7.31,-7.31,-7.31,-7.31,-7.31,-7.31,-7.31
-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3
-7.29,-7.29,-7.29,-7.29,-7.29,-7.29,-7.29,-7.29
-7.42,-7.42,-7.42,-7.42,-7.42,-7.42,-7.42,-7.42
-7.46,-7.46,-7.46,-7.46,-7.46,-7.46,-7.46,-7.46
-7.42,-7.42,-7.42,-7.42,-7.42,-7.42,-7.42,-7.42
-7.31,-7.31,-7.31,-7.31,-7.31,-7.31,-7.31,-7.31
-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13,-7.13
-6.94,-6.94,-6.94,-6.94,-6.94,-6.94,-6.94,-6.94
-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61,-6.61
-6.29,-6.29,-6.29,-6.29,-6.29,-6.29,-6.29,-6.29
-5.95,-5.95,-5.95,-5.95,-5.95,-5.95,-5.95,-5.95
-5.71,-5.71,-5.71,-5.71,-5.71,-5.71,-5.71,-5.71
-5.52,-5.52,-5.52,-5.52,-5.52,-5.52,-5.52,-5.52
-5.39,-5.39,-5.39,-5.39,-5.39,-5.39,-5.39,-5.39
-5.39,-5.39,-5.39,-5.39,-5.39,-5.39,-5.39,-5.39
-5.06,-5.06,-5.06,-5.06,-5.06,-5.06,-5.06,-5.06
-5.06,-5.06,-5.06,-5.06,-5.06,-5.06,-5.06,-5.06
-4.76,-4.76,-4.76,-4.76,-4.76,-4.76,-4.76,-4.76
-4.58,-4.58,-4.58,-4.58,-4.58,-4.58,-4.58,-4.58
-4.41,-4.41,-4.41,-4.41,-4.41,-4.41,-4.41,-4.41
-4.33,-4.33,-4.33,-4.33,-4.33,-4.33,-4.33,-4.33
-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3
-4.37,-4.37,-4.37,-4.37,-4.37,-4.37,-4.37,-4.37
